countrycode, input_adm_area_1, input_adm_area_2, input_adm_area_3, adm_area_1, adm_area_2, adm_area_3, gid
BEL,Namur,,,Wallonie,Namur,,BEL.3.5_1
BEL,Walloon Brabant,,,Wallonie,Brabant Wallon,,BEL.3.1_1
BEL,West Flanders,,,Vlaanderen,West-Vlaanderen,,BEL.2.5_1
# BRA
BRA,Amapá,,,Amapá,,,BRA.3_1
BRA,CearÃ¡,,,Ceará,,,BRA.6_1
BRA,Distrito Federal (Brazil),,,Distrito Federal,,,BRA.7_1
BRA,EspÃ­rito Santo,,,Espírito Santo,,,BRA.8_1
BRA,GoiÃ¡s,,,Goiás,,,BRA.9_1
BRA,ParanÃ¡,,,Paraná,,,BRA.16_1
BRA,ParaÃ­ba,,,Paraíba,,,BRA.15_1
BRA,ParÃ¡,,,Pará,,,BRA.14_1
BRA,PiauÃ­,,,Piauí,,,BRA.18_1
BRA,Rio de Janeiro (state),,,Rio de Janeiro,,,BRA.19_1
BRA,RondÃ´nia,,,São Paulo,,,BRA.25_1
BRA,São Paulo (state),,,São Paulo,,,BRA.25_1
CAN,Quebec,,,Québec,,,CAN.11_1
CAN,Yukon Territory,,,Yukon,,,CAN.13_1
CHE,Canton of Aargau,,,Aargau,,,CHE.1_1
CHE,Canton of Appenzell Ausserrhoden,,,Appenzell Ausserrhoden,,,CHE.2_1
CHE,Canton of Appenzell Innerrhoden,,,Appenzell Innerrhoden,,,CHE.3_1
CHE,Canton of Basel-Landschaft,,,Basel-Landschaft,,,CHE.4_1
CHE,Canton of Basel-Stadt,,,Basel-Stadt,,,CHE.5_1
CHE,Canton of Bern,,,Bern,,,CHE.6_1
CHE,Canton of Fribourg,,,Fribourg,,,CHE.7_1
CHE,Canton of Geneva,,,Genève,,,CHE.8_1
CHE,Canton of Glarus,,,Glarus,,,CHE.9_1
CHE,Canton of Graubünden,,,Graubünden,,,CHE.10_1
CHE,Canton of Jura,,,Jura,,,CHE.11_1
CHE,Canton of Lucerne,,,Lucerne,,,CHE.12_1
CHE,Canton of Neuchâtel,,,Neuchâtel,,,CHE.13_1
CHE,Canton of Nidwalden,,,Nidwalden,,,CHE.14_1
CHE,Canton of Obwalden,,,Obwalden,,,CHE.15_1
CHE,Canton of Schaffhausen,,,Schaffhausen,,,CHE.17_1
CHE,Canton of Schwyz,,,Schwyz,,,CHE.18_1
CHE,Canton of Solothurn,,,Solothurn,,,CHE.19_1
CHE,Canton of St. Gallen,,,Sankt Gallen,,,CHE.16_1
CHE,Canton of Thurgau,,,Thurgau,,,CHE.20_1
CHE,Canton of Ticino,,,Ticino,,,CHE.21_1
CHE,Canton of Uri,,,Uri,,,CHE.22_1
CHE,Canton of Valais,,,Valais,,,CHE.23_1
CHE,Canton of Vaud,,,Vaud,,,CHE.24_1
CHE,Canton of Zug,,,Zug,,,CHE.25_1
CHE,Canton of Zürich,,,Zürich,,,CHE.26_1
CHL,AraucanÃ­a,,,Araucanía,,,CHL.3_1
CHL,Arica and Parinacota,,,Arica y Parinacota,,,CHL.4_1
CHL,Aysén del General Carlos Ibáñez del Campo,,,Aisén del General Carlos Ibáñez del Campo,,,CHL.1_1
CHL,Biobío,,,Bío-Bío,,,CHL.6_1
CHL,Los RÃ­os,,,Los Ríos,,,CHL.10_1
CHL,Magallanes and the Chilean Antarctic,,,Magallanes y Antártica Chilena,,,CHL.11_1
CHL,Santiago Metropolitan,,,Región Metropolitana de Santiago,,,CHL.14_1
