input_adm_area_1,input_adm_area_2,input_adm_area_3,adm_area_1,adm_area_2,adm_area_3,gid
Sutton,,,England,Greater London,Sutton,GBR.1.36.29_1
Swale,,,England,Kent,Swale,GBR.1.44.9_1
Swindon,,,England,Swindon,Swindon,GBR.1.99.1_1
Tameside,,,England,Tameside,Tameside,GBR.1.100.1_1
Tamworth,,,England,Staffordshire,Tamworth,GBR.1.92.8_1
Tandridge,,,England,Surrey,Tandridge,GBR.1.98.9_1
Teignbridge,,,England,Devon,Teignbridge,GBR.1.26.6_1
Telford and Wrekin,,,England,Telford and Wrekin,Telford and Wrekin,GBR.1.101.1_1
Tendring,,,England,Essex,Tendring,GBR.1.33.11_1
Test Valley,,,England,Hampshire,Test Valley,GBR.1.38.10_1
Tewkesbury,,,England,Gloucestershire,Tewkesbury,GBR.1.35.6_1
Thanet,,,England,Kent,Thanet,GBR.1.44.10_1
Three Rivers,,,England,Hertfordshire,Three Rivers,GBR.1.41.8_1
Thurrock,,,England,Thurrock,Thurrock,GBR.1.102.1_1
Tonbridge and Malling,,,England,Kent,Tonbridge and Malling,GBR.1.44.11_1
Torbay,,,England,Torbay,Torbay,GBR.1.103.1_1
Torridge,,,England,Devon,Torridge,GBR.1.26.7_1
Tower Hamlets,,,England,Greater London,Tower Hamlets,GBR.1.36.30_1
Trafford,,,England,Trafford,Trafford,GBR.1.104.1_1
Tunbridge Wells,,,England,Kent,Tunbridge Wells,GBR.1.44.12_1
Uttlesford,,,England,Essex,Uttlesford,GBR.1.33.12_1
Vale of White Horse,,,England,Oxfordshire,Vale of White Horse,GBR.1.69.4_1
Wakefield,,,England,Wakefield,Wakefield,GBR.1.105.1_1
Walsall,,,England,Walsall,Walsall,GBR.1.106.1_1
Waltham Forest,,,England,Greater London,Waltham Forest,GBR.1.36.31_1
Wandsworth,,,England,Greater London,Wandsworth,GBR.1.36.32_1
Warrington,,,England,Warrington,Warrington,GBR.1.107.1_1
Warwick,,,England,Warwickshire,Warwick,GBR.1.108.5_1
Watford,,,England,Hertfordshire,Watford,GBR.1.41.9_1
Waverley,,,England,Surrey,Waverley,GBR.1.98.10_1
Wealden,,,England,East Sussex,Wealden,GBR.1.32.5_1
Wellingborough,,,England,Northamptonshire,Wellingborough,GBR.1.64.7_1
Welwyn Hatfield,,,England,Hertfordshire,Welwyn Hatfield,GBR.1.41.10_1
West Berkshire,,,England,West Berkshire,West Berkshire,GBR.1.109.1_1
West Devon,,,England,Devon,West Devon,GBR.1.26.8_1
West Lancashire,,,England,Lancashire,West Lancashire,GBR.1.48.11_1
West Lindsey,,,England,Lincolnshire,West Lindsey,GBR.1.52.8_1
West Oxfordshire,,,England,Oxfordshire,West Oxfordshire,GBR.1.69.5_1
West Suffolk,,,England,Suffolk,West Suffolk,GBR.1.96.2_1:GBR.1.96.5_1
Westminster,,,England,Greater London,Westminster,GBR.1.36.33_1
Wigan,,,England,Wigan,Wigan,GBR.1.111.1_1
Wiltshire,,,England,Wiltshire,Wiltshire,GBR.1.112.1_1
Winchester,,,England,Hampshire,Winchester,GBR.1.38.11_1
Windsor and Maidenhead,,,England,Windsor and Maidenhead,Windsor and Maidenhead,GBR.1.113.1_1
Wirral,,,England,Wirral,Wirral,GBR.1.114.1_1
Woking,,,England,Surrey,Woking,GBR.1.98.11_1
Wokingham,,,England,Wokingham,Wokingham,GBR.1.115.1_1
Wolverhampton,,,England,Wolverhampton,Wolverhampton,GBR.1.116.1_1
Worcester,,,England,Worcestershire,Worcester,GBR.1.117.4_1
Worthing,,,England,West Sussex,Worthing,GBR.1.110.7_1
Wychavon,,,England,Worcestershire,Wychavon,GBR.1.117.5_1
Wycombe,,,England,Buckinghamshire,Wycombe,GBR.1.13.4_1
Wyre,,,England,Lancashire,Wyre,GBR.1.48.12_1
Wyre Forest,,,England,Worcestershire,Wyre Forest,GBR.1.117.6_1
York,,,England,York,York,GBR.1.118.1_1
